Final Outcome of the 2020 Leaving Certificate (Calculated Grades and Written Examinations),,,,,,,,,,,,
Code,Subject,Level,Year, Total,1,2,3,4,5,6,7,8
1,IRISH                  ,A,2020,24725,9.1,19.8,27.1,24.6,13.7,4.8,0.7,0.2
1,IRISH                  ,B,2020,1462,5.9,17.6,25.5,23.1,16,10.4,0.4,1
1,IRISH                  ,G,2020,23546,1.9,8.9,19.6,26.3,23.2,15.3,3.4,1.4
2,ENGLISH                ,A,2020,41949,4.4,13.5,25,28.3,19.1,8.1,1.3,0.3
2,ENGLISH                ,G,2020,14639,3,10.8,23,27.1,20.8,12,2.2,1
3,MATHEMATICS            ,A,2020,20520,8.6,15.4,21.6,23.2,18.3,10.2,2.3,0.4
3,MATHEMATICS            ,B,2020,2602,7.1,18.9,20.7,20.4,18.5,11.3,1.8,1.3
3,MATHEMATICS            ,G,2020,33862,4.6,12.8,20.7,23.3,19.7,13.4,3.8,1.7
4,HISTORY                ,A,2020,9470,11,19.7,24.7,21.5,13.6,6.9,2,0.7
4,HISTORY                ,G,2020,2825,4.7,11.3,19.1,22,21.3,15.7,3.4,2.5
5,GEOGRAPHY              ,A,2020,20506,6.3,14.6,23.4,24.6,18.9,9.5,2.3,0.5
5,GEOGRAPHY              ,G,2020,3644,1.8,8.4,18.1,27.2,23.3,16,3,2.1
6,LATIN                  ,A,2020,53,41.5,35.8,13.2,1.9,5.7,0,0,1.9
7,ANCIENT GREEK          ,A,2020,15,33.3,33.3,6.7,20,6.7,0,0,0
8,CLASSICAL STUDIES      ,A,2020,489,12.7,24.1,27,20,9.2,4.3,2,0.6
8,CLASSICAL STUDIES      ,G,2020,28,3.6,7.1,7.1,39.3,28.6,10.7,0,3.6
10,FRENCH                 ,A,2020,16519,7.9,16.1,23.9,24.6,17.2,8,1.8,0.4
10,FRENCH                 ,G,2020,6361,1.7,9.2,20.8,26.9,22.7,14.2,2.8,1.6
11,GERMAN                 ,A,2020,6779,9.2,17.4,24,23.5,15.7,7.9,1.8,0.4
11,GERMAN                 ,G,2020,1922,2,8.7,18.4,25.5,22.7,17.8,3.3,1.6
12,SPANISH                ,A,2020,6330,11.6,18.2,23,21.3,15.2,8.1,1.9,0.7
12,SPANISH                ,G,2020,2025,2,10.7,22.2,26.4,21.3,12.6,3.2,1.6
13,ITALIAN                ,A,2020,338,22.2,20.4,21.6,16.9,10.4,4.4,3.8,0.3
13,ITALIAN                ,G,2020,70,0,12.9,22.9,24.3,20,12.9,4.3,2.9
14,ART                    ,A,2020,8112,8.8,20.5,27.8,23.3,12,5.2,1.5,0.9
14,ART                    ,G,2020,1504,3.4,9.4,19.9,23.6,20,14.9,3.7,5.2
17,DUTCH                  ,A,2020,17,52.9,29.4,17.6,0,0,0,0,0
18,PORTUGUESE             ,A,2020,63,46,19,22.2,3.2,1.6,6.3,0,1.6
19,MODERN GREEK           ,A,2020,11,54.5,45.5,0,0,0,0,0,0
20,APPLIED MATHEMATICS    ,A,2020,2114,29.9,26.6,19.5,11.5,8,3.3,0.7,0.5
20,APPLIED MATHEMATICS    ,G,2020,67,35.8,20.9,14.9,10.4,4.5,9,0,4.5
21,PHYSICS                ,A,2020,7036,16.1,19.3,20.6,18.6,13.6,7.9,2.9,0.9
21,PHYSICS                ,G,2020,1060,5.4,12.1,18.9,21.8,19,14.5,4.7,3.7
22,CHEMISTRY              ,A,2020,8695,18.1,20.9,20.9,17.1,12.2,7.1,2.6,1.2
22,CHEMISTRY              ,G,2020,966,4,12.7,18.2,18.9,21.9,14.4,5,4.8
23,PHYSICS & CHEMISTRY    ,A,2020,460,15.4,17,18.5,16.7,13.3,9.8,5.7,3.7
23,PHYSICS & CHEMISTRY    ,G,2020,69,4.3,5.8,17.4,17.4,7.2,20.3,10.1,17.4
24,AGRICULTURAL SCIENCE   ,A,2020,7371,9.5,16.3,21.5,21.7,17.6,9.8,2.8,0.8
24,AGRICULTURAL SCIENCE   ,G,2020,1130,0.8,6,15.8,21.4,26.1,20.2,5,4.7
25,BIOLOGY                ,A,2020,29582,11.6,16.7,20.1,20.1,16.1,10.3,3.9,1.3
25,BIOLOGY                ,G,2020,5270,0.9,6.6,14.9,22.9,24.9,20.1,6.2,3.4
26,AGRICULTURAL ECONOMICS ,A,2020,39,10.3,25.6,25.6,30.8,7.7,0,0,0
27,ENGINEERING            ,A,2020,5326,8.5,18.6,27.6,24.2,13.5,5.5,1.4,0.6
27,ENGINEERING            ,G,2020,779,1.7,8.9,21.2,22.8,21.3,14.1,4,6
29,CONSTRUCTION STUDIES   ,A,2020,8565,7.5,17.6,26.3,24.5,15.8,6.4,1.5,0.5
29,CONSTRUCTION STUDIES   ,G,2020,1144,2.4,8.2,17.8,22.8,21.9,16.8,5.5,4.6
32,ACCOUNTING             ,A,2020,6316,17.9,23.3,23.1,17.5,10.5,5.3,1.6,0.9
32,ACCOUNTING             ,G,2020,1790,16.8,22.3,18.9,14.7,11.5,9.2,3.5,3.1
33,BUSINESS               ,A,2020,15225,8.7,16.6,22.7,22.5,16.8,9.4,2.7,0.6
33,BUSINESS               ,G,2020,2676,3.5,10.7,21.6,22.3,20.4,15.4,3.6,2.5
34,ECONOMICS              ,A,2020,5081,10.8,20,23.2,20.4,14.4,7.9,2.4,0.9
34,ECONOMICS              ,G,2020,665,5.4,16.7,22.9,18.3,16.4,15,2.3,3
58,JAPANESE               ,A,2020,232,22.8,21.6,19,14.7,12.9,5.6,2.6,0.9
58,JAPANESE               ,G,2020,35,2.9,11.4,14.3,14.3,22.9,22.9,5.7,5.7
59,ARABIC                 ,A,2020,163,25.2,39.9,19.6,6.7,7.4,1.2,0,0
59,ARABIC                 ,G,2020,16,12.5,12.5,18.8,18.8,37.5,0,0,0
65,TECHNOLOGY             ,A,2020,1696,10.3,21.1,25.2,21.5,13.6,6.3,1.3,0.8
65,TECHNOLOGY             ,G,2020,161,1.2,9.3,25.5,21.7,16.8,14.3,4.3,6.8
67,MUSIC                  ,A,2020,6509,13.1,34.8,30.8,15.1,4.5,1.3,0.2,0.2
67,MUSIC                  ,G,2020,427,3.7,14.5,28.6,23,15.5,8.7,2.6,3.5
98,HOME ECONOMICS S & S   ,A,2020,10249,7.3,19,27.7,24.9,14.2,5.3,1.1,0.5
98,HOME ECONOMICS S & S   ,G,2020,1739,0.3,4.5,16.4,27.2,24.6,15.5,7.4,4
99,RUSSIAN                ,A,2020,395,78.5,15.9,4.1,0.5,0.8,0.3,0,0
219,COMPUTER SCIENCE       ,A,2020,677,7.4,16.5,22.5,22.9,15.4,9.7,4.4,1.2
219,COMPUTER SCIENCE       ,G,2020,62,1.6,16.1,8.1,22.6,16.1,24.2,4.8,6.5
223,RELIGIOUS EDUCATION    ,A,2020,1196,8.9,18.9,25.5,23,12.9,8,1.8,0.9
223,RELIGIOUS EDUCATION    ,G,2020,110,0.9,3.6,19.1,25.5,18.2,27.3,1.8,3.6
225,PHYSICAL EDUCATION     ,A,2020,1374,9,20.4,27.4,22,13.4,5.6,1.7,0.6
225,PHYSICAL EDUCATION     ,G,2020,90,3.3,7.8,14.4,13.3,15.6,27.8,7.8,10
548,POLISH                 ,A,2020,508,34.1,35.2,20.1,7.1,2.6,0.8,0,0.2
549,LATVIAN                ,A,2020,25,28,36,24,4,4,0,0,4
550,LITHUANIAN             ,A,2020,96,27.1,29.2,26,11.5,5.2,0,0,1
551,HUNGARIAN              ,A,2020,30,50,23.3,23.3,3.3,0,0,0,0
553,ROMANIAN               ,A,2020,237,37.6,32.5,20.7,5.9,2.5,0.8,0,0
554,SLOVAKIAN              ,A,2020,17,52.9,17.6,5.9,11.8,11.8,0,0,0
559,BULGARIAN              ,A,2020,13,46.2,23.1,7.7,7.7,15.4,0,0,0
562,DESIGN & COMMUNICATION ,A,2020,4720,15.3,25.1,26,18.9,9.7,3.6,0.9,0.6
562,DESIGN & COMMUNICATION ,G,2020,926,5.3,16,22.5,23,14.5,10.9,3.7,4.2
567,CROATIAN               ,A,2020,44,61.4,25,2.3,11.4,0,0,0,0
568,POLITICS AND SOCIETY   ,A,2020,1440,7.9,15.5,23.8,21.9,17,9,3.2,1.7
568,POLITICS AND SOCIETY   ,G,2020,214,0.9,6.5,15,20.1,24.3,23.8,5.6,3.7
